"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg"
45061,"SC","lee county",0.330176428990397,1161949,263153,31963,0.424570183227056,17897,0,0.0233558696988322,-0.293588162762022
45063,"SC","lexington county",-38.0973944061342,80093,10009857,57482,0.28740551673333,281870,0.714651036049255,0.0581615638414872,0.367096504116426
45067,"SC","marion county",-1.32030814666074,422680,435470,31129,0.356945340584386,31765,0,0.0270423422005352,-0.217204754870929
45069,"SC","marlboro county",0.638369294994118,701972,699907,33921,0.413457123909606,27505,0,0.0330485366297037,-0.161402492031295
45065,"SC","mccormick county",-2.46098186090323,0,168980,40622,0.314203189752606,9694,0,0.00876831029502785,0.0329817833173538
45071,"SC","newberry county",0.952322776712566,109878,1219658,39600,0.373536935121308,37914,0.000346592726884931,0.0731392097905787,0.226198273295624
45073,"SC","oconee county",-4.56807423804418,66831,3348517,43978,0.308309466108541,75926,0,0.0514316571398467,0.48067402326275
45075,"SC","orangeburg county",1.72944302144603,666788,3006493,34943,0.321548935022917,89116,0,0.0209726648413304,-0.369590974654853
45077,"SC","pickens county",-5.33495050556624,5785,3154195,45332,0.302699363927877,121449,0.642077098570758,0.0351093874795182,0.527286120603221
45079,"SC","richland county",3.97376047058092,188790,23401426,52082,0.223258498527187,404869,0.909296132159873,0.0504434767789087,-0.328500590318772
45081,"SC","saluda county",-0.560797746614583,39819,280009,41885,0.354758345789736,20228,0,0.154043899545185,0.31732679051291
45083,"SC","spartanburg county",-6.34308905791057,69962,12645781,47575,0.290843626042435,297732,0.693651580861533,0.0648737791033547,0.299793862227116
45085,"SC","sumter county",-0.479825847966509,644170,3611958,41946,0.309173256649892,107379,0.680343582489577,0.0380986971381741,-0.120118961133309
45087,"SC","union county",-1.62701084183612,0,672801,37493,0.394950726404551,27772,0,0.0135388160737433,0.192851824274013
45089,"SC","williamsburg county",2.78611584191904,881396,658901,30976,0.409268292682927,32256,0,0.0232824900793651,-0.337962655325935
45091,"SC","york county",-4.60412717793162,83896,10254909,59394,0.265694118208158,251664,0.706559385685155,0.0514972344077818,0.220542208507825
46003,"SD","aurora county",-3.20740917468905,1707804,140838,57257,0.342495876855415,2739,0,0.0668127053669222,0.450604122245913
46005,"SD","beadle county",0.113037489519696,5007891,843303,48995,0.322559257417537,18163,0,0.0905136816605186,0.375516834022445
46007,"SD","bennett county",-5.28016297942553,0,75956,45725,0.315154693235448,3440,0,0.0726744186046512,0.221061792863359
46009,"SD","bon homme county",-0.953520790635121,1255939,178319,52923,0.367690201447291,6972,0,0.0296901893287435,0.471082716879623
46011,"SD","brookings county",-0.451193598602473,4034294,1950087,53473,0.27469933685512,33697,0,0.0259963794996587,0.147397476340694
46013,"SD","brown county",0.509189237621688,11649110,2819451,53807,0.306418706842436,38637,0,0.0246395941713901,0.258238689257122
46015,"SD","brule county",-8.77742099540155,1302090,203085,50870,0.279797125950972,5280,0,0.0253787878787879,0.434440559440559
46017,"SD","buffalo county",-6.55337832344093,246204,95420,30500,0.399029126213592,2048,0,0.02392578125,-0.255102040816327
