dyad,state1no,state1ab,state2no,state2ab,year,conttype,version
2020,20,"CAN",2,"USA",1961,1,3.1
2020,20,"CAN",2,"USA",1962,1,3.1
2020,20,"CAN",2,"USA",1963,1,3.1
2020,20,"CAN",2,"USA",1964,1,3.1
2020,20,"CAN",2,"USA",1965,1,3.1
2020,20,"CAN",2,"USA",1966,1,3.1
2020,20,"CAN",2,"USA",1967,1,3.1
2020,20,"CAN",2,"USA",1968,1,3.1
2020,20,"CAN",2,"USA",1969,1,3.1
2020,20,"CAN",2,"USA",1970,1,3.1
2020,20,"CAN",2,"USA",1971,1,3.1
2020,20,"CAN",2,"USA",1972,1,3.1
2020,20,"CAN",2,"USA",1973,1,3.1
2020,20,"CAN",2,"USA",1974,1,3.1
2020,20,"CAN",2,"USA",1975,1,3.1
2020,20,"CAN",2,"USA",1976,1,3.1
2020,20,"CAN",2,"USA",1977,1,3.1
2020,20,"CAN",2,"USA",1978,1,3.1
2020,20,"CAN",2,"USA",1979,1,3.1
2020,20,"CAN",2,"USA",1980,1,3.1
2020,20,"CAN",2,"USA",1981,1,3.1
2020,20,"CAN",2,"USA",1982,1,3.1
2020,20,"CAN",2,"USA",1983,1,3.1
2020,20,"CAN",2,"USA",1984,1,3.1
2020,20,"CAN",2,"USA",1985,1,3.1
2020,20,"CAN",2,"USA",1986,1,3.1
2020,20,"CAN",2,"USA",1987,1,3.1
2020,20,"CAN",2,"USA",1988,1,3.1
2020,20,"CAN",2,"USA",1989,1,3.1
2020,20,"CAN",2,"USA",1990,1,3.1
2020,20,"CAN",2,"USA",1991,1,3.1
2020,20,"CAN",2,"USA",1992,1,3.1
2020,20,"CAN",2,"USA",1993,1,3.1
2020,20,"CAN",2,"USA",1994,1,3.1
2020,20,"CAN",2,"USA",1995,1,3.1
2020,20,"CAN",2,"USA",1996,1,3.1
2020,20,"CAN",2,"USA",1997,1,3.1
2020,20,"CAN",2,"USA",1998,1,3.1
2020,20,"CAN",2,"USA",1999,1,3.1
2020,20,"CAN",2,"USA",2000,1,3.1
2020,20,"CAN",2,"USA",2001,1,3.1
2020,20,"CAN",2,"USA",2002,1,3.1
2020,20,"CAN",2,"USA",2003,1,3.1
2020,20,"CAN",2,"USA",2004,1,3.1
2020,20,"CAN",2,"USA",2005,1,3.1
2020,20,"CAN",2,"USA",2006,1,3.1
2031,31,"BHM",2,"USA",1973,4,3.1
2031,31,"BHM",2,"USA",1974,4,3.1
2031,31,"BHM",2,"USA",1975,4,3.1
2031,31,"BHM",2,"USA",1976,4,3.1
2031,31,"BHM",2,"USA",1977,4,3.1
2031,31,"BHM",2,"USA",1978,4,3.1
2031,31,"BHM",2,"USA",1979,4,3.1
2031,31,"BHM",2,"USA",1980,4,3.1
2031,31,"BHM",2,"USA",1981,4,3.1
2031,31,"BHM",2,"USA",1982,4,3.1
2031,31,"BHM",2,"USA",1983,4,3.1
2031,31,"BHM",2,"USA",1984,4,3.1
2031,31,"BHM",2,"USA",1985,4,3.1
2031,31,"BHM",2,"USA",1986,4,3.1
2031,31,"BHM",2,"USA",1987,4,3.1
2031,31,"BHM",2,"USA",1988,4,3.1
2031,31,"BHM",2,"USA",1989,4,3.1
2031,31,"BHM",2,"USA",1990,4,3.1
2031,31,"BHM",2,"USA",1991,4,3.1
